#+-----------------------------------------------------------------------------------+
#|                                                                                   |
#| Generated by SLEC-design-checking-10.5c/892744  (Aug 23 2020)  linux64  S2008232321|
#| on Sat Sep 11 23:59:57 2021.                                                      |
#|                                                                                   |
#| Restrictions concerning the use of Mentor Graphics Corporation SLEC               |
#| are covered in the license agreement. Distribution to third party                 |
#| is strictly prohibited.                                                           |
#|                                                                                   |
#+-----------------------------------------------------------------------------------+

     [CPT-RBDF]   Reading SystemC files into the 'spec' design library.
     [UI-BDS]     CPU usage after abstract_ac_channel_io = 8.917u 0.534s 9.451 0:15.000
     [UI-BDS]     MEM usage after abstract_ac_channel_io = 49.168m 180.922p
     [UI-BDS]     CPU usage after normalize_negating_exprs = 8.918u 0.534s 9.452 0:15.000
     [UI-BDS]     MEM usage after normalize_negating_exprs = 49.168m 180.922p
     [UI-BDS]     CPU usage after add_ac_builtin_func = 8.918u 0.534s 9.452 0:15.000
     [UI-BDS]     MEM usage after add_ac_builtin_func = 49.168m 180.922p
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 9 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 9 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 8.922u 0.534s 9.456 0:15.000
     [UI-BDS]     MEM usage after record_design_checks = 49.169m 180.922p
     [UI-BDS]     CPU usage after identify_enum_full_case = 8.923u 0.534s 9.456 0:15.000
     [UI-BDS]     MEM usage after identify_enum_full_case = 49.169m 180.922p
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 9 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 9 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 8.926u 0.534s 9.460 0:15.000
     [UI-BDS]     MEM usage after record_design_checks = 49.169m 180.922p
     [UI-BDS]     CPU usage after convert_enums_to_ints = 8.927u 0.534s 9.461 0:15.000
     [UI-BDS]     MEM usage after convert_enums_to_ints = 49.170m 180.922p
     [UI-BDS]     CPU usage after handle_goto = 8.927u 0.534s 9.461 0:15.000
     [UI-BDS]     MEM usage after handle_goto = 49.170m 180.922p
     [UI-BDS]     CPU usage after preprocess_non_orthogonal_unions = 8.927u 0.535s 9.462 0:15.000
     [UI-BDS]     MEM usage after preprocess_non_orthogonal_unions = 49.171m 180.922p
     [UI-BDS]     CPU usage after inline_functions = 8.948u 0.537s 9.485 0:15.000
     [UI-BDS]     MEM usage after inline_functions = 49.864m 180.922p
     [UI-BDS]     CPU usage after cover_check = 8.948u 0.537s 9.485 0:15.000
     [UI-BDS]     MEM usage after cover_check = 49.864m 180.922p
     [UI-BDS]     CPU usage after const_prop_for_cpp = 9.094u 0.537s 9.631 0:15.000
     [UI-BDS]     MEM usage after const_prop_for_cpp = 49.794m 180.922p
     [UI-BDS]     CPU usage after infer_power_up_values = 9.094u 0.538s 9.632 0:15.000
     [UI-BDS]     MEM usage after infer_power_up_values = 49.794m 180.922p
     [UI-BDS]     CPU usage after natively_handle_ac_builtin_func = 9.095u 0.538s 9.633 0:15.000
     [UI-BDS]     MEM usage after natively_handle_ac_builtin_func = 49.795m 180.922p
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 10 seconds [+1MB, +0MB, +1s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Started do_design_checks
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 9.096u 0.538s 9.634 0:15.000
     [UI-BDS]     MEM usage after do_design_checks = 49.795m 180.922p
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 50 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 9.106u 0.538s 9.644 0:15.000
     [UI-BDS]     MEM usage after record_design_checks = 49.817m 180.922p
     [UI-BDS]     CPU usage after synthesize_ac_sc_fixed_logic = 9.109u 0.538s 9.647 0:15.000
     [UI-BDS]     MEM usage after synthesize_ac_sc_fixed_logic = 49.817m 180.922p
     [UI-BDS]     CPU usage after handle_float_types = 9.109u 0.539s 9.648 0:15.000
     [UI-BDS]     MEM usage after handle_float_types = 49.817m 180.922p
     [UI-BDS]     CPU usage after canonize_cpt_for_cpp = 9.113u 0.539s 9.652 0:15.000
     [UI-BDS]     MEM usage after canonize_cpt_for_cpp = 49.817m 180.922p
     [UI-BDS]     CPU usage after handle_ccores = 9.115u 0.541s 9.656 0:15.000
     [UI-BDS]     MEM usage after handle_ccores = 49.838m 180.922p
     [UI-BDS]     CPU usage after inline_functions = 9.137u 0.543s 9.680 0:15.000
     [UI-BDS]     MEM usage after inline_functions = 50.470m 180.922p
     [UI-BDS]     CPU usage after identify_wait_in_loops = 9.139u 0.543s 9.682 0:15.000
     [UI-BDS]     MEM usage after identify_wait_in_loops = 50.471m 180.922p
     [UI-BDS]     CPU usage after identify_unrolled_loops = 9.142u 0.543s 9.685 0:15.000
     [UI-BDS]     MEM usage after identify_unrolled_loops = 50.471m 180.922p
     [CPT-RLI]    Loop at '/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:87' is rolled.
     [CPT-RLI]    Loop at '/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:91' is rolled.
     [CPT-RLI]    Loop at '/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:115' is rolled.
     [CPT-RLI]    Loop at '/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:139' is rolled.
     [CPT-RLI]    Loop at '/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:141' is rolled.
     [CPT-RLI]    Loop at '/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:163' is rolled.
     [CPT-RLI]    Loop at '/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/Catapult_2_1/peaseNTT.v4/CDesignChecker/spec_wrapper.cpp:130' is rolled.
     [UI-BDS]     CPU usage after predicate_unrolled_loops = 9.142u 0.545s 9.687 0:15.000
     [UI-BDS]     MEM usage after predicate_unrolled_loops = 50.472m 180.922p
     [UI-BDS]     CPU usage after predicate_switch_stmts = 9.144u 0.545s 9.689 0:15.000
     [UI-BDS]     MEM usage after predicate_switch_stmts = 50.472m 180.922p
     [UI-BDS]     CPU usage after add_ref_on_assigns = 9.149u 0.545s 9.694 0:15.000
     [UI-BDS]     MEM usage after add_ref_on_assigns = 50.610m 180.922p
     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+1MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Elab Compute :  Global_Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Rename Malloced Variables :  Global_Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Apply Constant :  Global_Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Blast Struct Decls :  Global_Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Array Synthesis :  Global_Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Clean Unused ITTs :  Global_Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Blast Array :  Global_Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Elab Compute :  Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Rename Malloced Variables :  Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Apply Constant :  Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Blast Struct Decls :  Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Array Synthesis :  Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Blast Array :  Scope

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Elab Compute :  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Rename Malloced Variables :  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Apply Constant :  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Blast Struct Decls :  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Handle Prisl :  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Array Synthesis :  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Clean Unused ITTs :  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Blast Array :  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Elab Compute :  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Rename Malloced Variables :  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Apply Constant :  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Blast Struct Decls :  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Handle Prisl :  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Array Synthesis :  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Clean Unused ITTs :  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 10 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:12 2021
     [UI-BDPM]    Finished Blast Array :  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 52 MB, peak 181 MB, and 12 seconds [+1MB, +0MB, +2s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Elab Compute :  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 52 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Rename Malloced Variables :  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 52 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Apply Constant :  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 52 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Blast Struct Decls :  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 52 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Handle Prisl :  spec_wrapper::doit

     [CPT-WFLM]   (/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:75) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: spec_wrapper::doit#0@peaseNTT#0@yt_95888_206083 - 1023:1 Mux spec_wrapper::doit#0@spec_wrapper::doit#0@xt_123066_123066 - 1023:1 Mux .
     [CPT-WFLM]   (/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:73) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: spec_wrapper::doit#0@spec_wrapper::doit#0@xt_123066_123066 - 1023:1 Mux spec_wrapper::doit#0@peaseNTT#0@yt_95888_206083 - 1023:1 Mux .
     [CPT-WFLM]   (/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:72) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: spec_wrapper::doit#0@spec_wrapper::doit#0@twiddle_h_127172_127172 - 2046:1 Mux .
     [CPT-WFLM]   (/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:71) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: spec_wrapper::doit#0@spec_wrapper::doit#0@twiddle_125119_125119 - 2046:1 Mux .
     [CPT-WFLM]   (/home/jd4691/research/NTT_CPU/peaseNTT_nocpy/src/ntt.cpp:65) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: spec_wrapper::doit#0@peaseNTT#0@yt_95888_206083 - 1023:1 Mux spec_wrapper::doit#0@spec_wrapper::doit#0@xt_123066_123066 - 1023:1 Mux .
     [UI-BDS]     SLEC process is using 52 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Array Synthesis :  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 52 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Clean Unused ITTs :  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [-1MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Blast Array :  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Elab Compute :  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Rename Malloced Variables :  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Apply Constant :  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Blast Struct Decls :  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Handle Prisl :  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Array Synthesis :  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Clean Unused ITTs :  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Blast Array :  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 51 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Model Extract :  spec_wrapper

     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 12 seconds [-2MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Cleanup :  

     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished Downscope Globals :  

     [UI-BDS]     CPU usage after cpp_elaborate = 11.265u 0.550s 11.815 0:17.000
     [UI-BDS]     MEM usage after cpp_elaborate = 49.368m 180.922p
     [UI-BDS]     CPU usage after cover_check_reporter = 11.265u 0.550s 11.815 0:17.000
     [UI-BDS]     MEM usage after cover_check_reporter = 49.369m 180.922p
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Started do_design_checks
     [UI-BDS]     SLEC process is using 49 MB, peak 181 MB, and 12 seconds [+0MB, +0MB, +0s] @ Sun Sep 12 00:00:14 2021
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 11.266u 0.550s 11.815 0:17.000
     [UI-BDS]     MEM usage after do_design_checks = 49.369m 180.922p
     [UI-BDS]     CPU usage after infer_power_up_values = 11.281u 0.553s 11.834 0:17.000
     [UI-BDS]     MEM usage after infer_power_up_values = 49.368m 180.922p
     [UI-BDS]     CPU usage after const_fold = 11.284u 0.553s 11.837 0:17.000
     [UI-BDS]     MEM usage after const_fold = 49.362m 180.922p
     [UI-BDS]     CPU usage after infer_clock = 11.285u 0.553s 11.838 0:17.000
     [UI-BDS]     MEM usage after infer_clock = 49.363m 180.922p
